ac_no,ac_name,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
48,Kalasapakkam,S. Murugaiyan,DMK,72848,"42,893",58.88,"29,955",41.12
49,Tiruvannamalai,P. U. Shanmugam,DMK,74961,"46,633",62.21,"28,328",37.79
50,Melmalayanur,R. R. Munusami,DMK,58211,"31,166",53.54,"27,045",46.46
51,Gingee,S. Sagadeva Gounder,DMK,66025,"39,397",59.67,"26,628",40.33
52,Tindivanam,Rajaram G.,DMK,60779,"33,933",55.83,"26,846",44.17
53,Vanur,N. Muthuvel,DMK,57049,"34,121",59.81,"22,928",40.19
54,Kandamagalam,M. Raman,DMK,56328,"32,293",57.33,"24,035",42.67
55,Villupuram,M. Shanmugam,DMK,69710,"35,838",51.41,"33,872",48.59
56,Nellikuppam,V. Krishnamurthy Gounder,DMK,61743,"27,741",44.93,"34,002",55.07
57,Cuddalore,R. Govindaraj,DMK,66956,"35,219",52.6,"31,737",47.4
58,Panruti,S. Ramachandaran,DMK,80947,"42,141",52.06,"38,806",47.94
59,Kurinjipadi,N. Rajangam,DMK,53403,"27,465",51.43,"25,938",48.57
60,Bhuvanagiri,M. A. Abusali,Independent,64579,"28,615",44.31,"35,964",55.69
61,Kattumannarkoil,S. Perumal,DMK,63509,"32,847",51.72,"30,662",48.28
62,Chidambaram,P. Ponchokkalingam,DMK,71031,"35,750",50.33,"35,281",49.67
63,Vriddhachalam,M. Selvaraj,DMK,77648,"42,132",54.26,"35,516",45.74
64,Mangalore,G. Jabamalai,DMK,62427,"32,612",52.24,"29,815",47.76
65,Ulundurpet,V. Subramanian,DMK,62538,"36,191",57.87,"26,347",42.13
66,Tirukkoyilur,A. S. Kumarasamy,DMK,69694,"38,520",55.27,"31,174",44.73
67,Mugaiyur,A. G. Padmavathi,DMK,64595,"38,744",59.98,"25,851",40.02
68,Rishivandiyam,N. Dharmalingam,DMK,56595,"29,350",51.86,"27,245",48.14
69,Sankarapuram,N. Natchiyappan,DMK,57020,"28,544",50.06,"28,476",49.94
70,Kallakurichi,D. Kesavalu,DMK,72886,"38,513",52.84,"34,373",47.16
71,Hosur,B. Venkataswamy,SWA,44286,"28,259",63.81,"16,027",36.19
72,Uddanapalle,K. S. Kothanadaramaiah,Independent,43025,"13,854",32.2,"29,171",67.8
73,Krishnagiri,C. Manniappan,DMK,49913,"31,445",63,"18,468",37
74,Kaveripatnam,V. C. Govindasamy Gounder,DMK,63937,"41,546",64.98,"22,391",35.02
75,Uttangarai,K. R. Krishnan,DMK,63274,"36,256",57.3,"27,018",42.7
76,Harur,S. A. Chinnaraju,DMK,60890,"33,039",54.26,"27,851",45.74
77,Dharmapuri,R. Chinnasamy,DMK,73599,"39,861",54.16,"33,738",45.84
78,Palacode,M. V. Karivengadam,DMK,61276,"32,378",52.84,"28,898",47.16
79,Pennagaram,N. Manickkam,DMK,63594,"33,298",52.36,"30,296",47.64
80,Mettur,M. Surendran,PSP,56842,"32,656",57.45,"24,186",42.55
81,Taramangalam,Paramasivam,DMK,53823,"33,257",61.79,"20,566",38.21
82,Omalur,V. Selladurai,DMK,42863,"26,065",60.81,"16,798",39.19
83,Salem I,K. Jayaraman,DMK,90852,"46,262",50.92,"44,590",49.08
84,Salem I I,K. Rajaram,DMK,70404,"37,152",52.77,"33,252",47.23
85,Yercaud,Chinnusamy V.,DMK,48012,"29,196",60.81,"18,816",39.19
86,Panamrathupatti,Karipatti T. Ponnumalai,DMK,65843,"35,832",54.42,"30,011",45.58
87,Veerapandi,Veerapandy S. Arumugam,DMK,66478,"41,369",62.23,"25,109",37.77
88,Edapadi,A. Arumugam,DMK,65128,"35,638",54.72,"29,490",45.28
89,Sankari,V. Muthur,DMK,45679,"27,741",60.73,"17,938",39.27
90,Tiruchengodu,S. Kandappan,DMK,71613,"43,605",60.89,"28,008",39.11
91,Kapilamalai,C. V. Velappan,DMK,77183,"43,022",55.74,"34,161",44.26
92,Namakkal,Palanivelan,DMK,73834,"39,553",53.57,"34,281",46.43
93,Sendamangalam,Chinna Veilaiya Gounder,DMK,60624,"34,507",56.92,"26,117",43.08
94,Rasipuram,R. Nainamalai,DMK,74825,"41,079",54.9,"33,746",45.1
95,Attur,V. Palanivel Gounder,DMK,75446,"39,828",52.79,"35,618",47.21
96,Talavasal,Moo. Marimuthu,DMK,66150,"32,195",48.67,"33,955",51.33
97,Gudalur,K. H. Bomman,SWA,40746,"18,519",45.45,"22,227",54.55
98,Udhagamandalam,M. Devarajan,DMK,51316,"28,901",56.32,"22,415",43.68
99,Coonoor,J. Karunainathan,DMK,54982,"33,451",60.84,"21,531",39.16
100,Mettupalayam,M. C. Thooyamani,DMK,69567,"39,013",56.08,"30,554",43.92
101,Avanashi,T. O. Periasamy,Independent,58830,"29,356",49.9,"29,474",50.1
102,Thondamuthur,R. Manickavasakam,DMK,84877,"51,181",60.3,"33,696",39.7
103,Singanallur,A. Subramaniam,PSP,66595,"35,888",53.89,"30,707",46.11
104,Perur,N. Marudachalam,CPI,68083,"39,270",57.68,"28,813",42.32
105,Coimbatore (West),P. Gopal,DMK,62621,"34,736",55.47,"27,885",44.53
106,Coimbatore (East),K. Rangana Than,DMK,66373,"31,003",46.71,"35,370",53.29
107,Kinathukadavu,M. Kannappan,DMK,69828,"47,776",68.42,"22,052",31.58
108,Pollachi,A. P. Shanmugasundara Goundar,DMK,65566,"41,654",63.53,"23,912",36.47
109,Valparai,E. Ramaswamy,DMK,59340,"38,779",65.35,"20,561",34.65
110,Udumalaipettai,S. J. Sadiq Pasha,DMK,72290,"45,369",62.76,"26,921",37.24
111,Dharapuram,V. P. Palaniammal,DMK,63572,"40,947",64.41,"22,625",35.59
112,Vellakoil,M. Pilanisamy,DMK,61772,"42,067",68.1,"19,705",31.9
113,Kangayam,Kovai Chezhiyan,DMK,63938,"42,461",66.41,"21,477",33.59
114,Pongalur,N. Palanisamy,DMK,61984,"37,178",59.98,"24,806",40.02
115,Palladam,K. N. Kumarasamy Gounder,PSP,60580,"34,876",57.57,"25,704",42.43
116,Tiruppur,S. Duraisamy,DMK,74275,"40,762",54.88,"33,513",45.12
117,Modakkurichi,M. Chinnasami,DMK,77532,"45,108",58.18,"32,424",41.82
118,Perundurai,N. K. Palanisamy,CPI,68976,"38,882",56.37,"30,094",43.63
119,Erode,M. Subramanian,DMK,78170,"47,809",61.16,"30,361",38.84
120,Bhavani,A. M. Raja,DMK,64904,"38,527",59.36,"26,377",40.64
